id,question,answer,title
289,"У меня был аккаунт, в котором неправильно ввел паспортные данные. Я написал в техподдержку с просьбой удалить аккаунт. Мне удалили, но! Смогу ли я заново зарегистрироваться в данной конторе с помощью этого же телефона и этой же почты?","<p>Обратитесь в поддержку, проблем быть не должно.</p>",Могу ли я заново зарегистрироваться в Вильям Хилле?
290,"Добрый день! Хотелось бы, чтобы эксперты отбирались более тщательно. Евгений Дзичковский в матче Челси - Порту не смог определить мотивировку команд и строит свой прогноз из неверного постулата. Поятно, что ничья скорее нужна Челси в свете высоко вероятной победы киевского ""Динамо"". Удивляет, что никто из команды не указал прогнозисту на его элементарную ошибку. С уважением, В.З.","<p>Пишите на странице прогноза, там можно получить ответ от автора.</p>",Вопрос - пожелание
291,"Забанит ли контора BET365, если я заведу Аккаунт на свою сестру? У нее прописка такая же, а фамилия другая.",<p>Скорее всего забанит.</p>,"Другая фамилия, но тот же Адрес."
292,"Боюсь позже проблем с верификацией на бирже,поэтому прошу Вас разъяснить мне по возможности.","<p>Второй адрес заполнять не обязательно, на сколько я знаю. Пишите ваш настоящий адрес.</p>","Как правильно в Matchbook заполнить поля ""Address line 1"", ""Addres line 2"" и ""Region"" в окне регистрации?"
293,"То есть как в бетфаир, если у меня на счету 100$, и я поставил все 100 ""за"", могу ли я поставить ""против"" на этом же событии,чтобы выйти в плюс до начала или во время матча?? И,если Вам не сложно, скажите, поставленные деньги сразу же вернутся на мой счет как в бетфаир или надо ждать окончания события?","<p>Нет, здесь нет такой возможности.</p>","Можно ли в Matchbook делать вторую ставку при 0 балансе на противоположное событие (""за"" и ""против"")"
294,Денис Казанский - 40℅ прибыли за ноябрь . Вопрос : как рассчитывается эта прибыль ?,"<p>Сумма каждой ставки 10$ умножается на коэффициент скажем 1,5, отнимается сумма ставки 10$, равно 5$, получается 50% прибыли.</p>",Прогнозы Дениса Казанского
295,"прочитал правило по трём пунктам возникли вопросы 1)3.8 Связанные ставки: Клиент не может объединять (используя обстоятельства) связанные ставки на одно и то же событие. Связанными ставками являются две или более различных ставок, в которых оказались связанными неожиданные обстоятельства.... ВОПРОС-что есть ""событие""? это-в общем игра команд (игроков) ""А"" и ""Б"" со всеми вариантами ставок на тот или иной коэфф(победа,проигрыш,тотал, ничья,кол-во забитых голов,фора.....и т.д) или это отдельно взятая ставка на тот или иной коэфф в конкретно взятой игре? 2)2.5 Действительные и недействительные ставки Ставка считается действительной, если она поставлена до фактического начала события, если это не ставка «Live».... 3)1.3. Групповые ставки ....Повторные ставки на одни и те же результаты / победителей от одних и тех же или различных клиентов могут впоследствии быть объявлены недействительными.... по остальным двум пунктам - один вопрос. к примеру имеем три коэфф.,в одной конкретно взятой игре,- ""А"" , ""Б"" и ""ничья"". ставим на ""А"" и в течении всего остального времени(до завершения игры) на ""А"" больше ставить нельзя,иначе ставку признают не действительной. так?","Пункт 1-ый: Связанные ставки - связанными ставками считаются такие ставки, исход которых влияет друг на друга. То есть, например экспресс в виде: ""Тотал матча больше 2.5 + Удар в створ 9.5 больше"" невозможен, так как события прямо влияют друг на друга. Так же нельзя совмещать например ЖК и Фолы и.т.п.

Пункт 2-ой: С действительными ставками разобрались. К недействительным ставкам относятся ставки сделанные по пре-матч линии в тот момент, когда событие уже началось (Это чаще всего бывает в теннисе, когда событие начинается сразу же когда становится свободен корт где должен начаться матч). Пример: Вы поставили на победу Джоковича с Надалем в 15:34, в линии время начало события (так же как и на билете теперь) указано в 16:00, НО матч начался на полчаса раньше в 15:30 (по тем или иным причинам букмекер не успел убрать событие с пре-матч линии). Ваша ставка считается недействительно и подлежит возврату так как событие уже шло во время ставки.

Пункт 3-ий: Данное  правило относится скорее к малоизвестным букмекеру событиям, на которых у них стоит определенный лимит. Совершая такие ставки вы разбиваете общую сумму. Но однако если вы ставите например на победу Барселоны несколько раз в течении дня, а потом и в лайве на один и тот же исход, не думаю что тут данное правило подействует.",вопрос по правилам
296,"Здравствуйте! Почему со 180% прибыли я вчера был в топе капперов, а сегодня нет? Прогнозы делал от имени Artur Sadykoff на снукер. Спасибо","<p>Добрый вечер, Артур! На данный момент алгоритма подсчета рейтинга еще совершенствуются. Пока в него включаются уже сделанные, но не разыгранные ставки - скоро мы исправим этот недочет.  </p>",Пропал из топа почему?
297,"Хотел бы узнать, все капперы проверяются поочередно на предмет прибыли/убыли? Просто пока что должен быть хороший плюс, но в рейтинге себя не нахожу. Знаю, что рейтинг обновляется с опозданием, вот хотел бы еще узнать поочередно всех проверяют или нет. Спасибо)","<p>Да, по очереди.</p>",Какова система подсчета рейтинга капперов в капперской трибуне?
298,"здравствуйте.бк bet365 .прошел регистрацию ,залил 1500 евро постаил на событие 14.10.2015....выйграл.....с 15.10.2015 зайти на свой акаунт не могу,кинули и на деньги и на выйгрыш...в переписке пишут жддите нашего решения и тишина. тем немение событие признано состоявшимся и многие мои знакомые на нем проиграли...ВАРЮГИ...подскажите что делать.","<p>К сожаление мы не сможем помочь вам, они не контактируют с нами по жалобам. Вам остается только ждать.</p>",bet 365
299,"Добрый день. Сегодня был по непонятной мне причине удалён прогноз ""Лестер""-""Челси"". Прогноз Дмитрия Юркина. Висел весь день, было 400 просмотров. Все названия команд в кавычках, написано грамотно и со знаками. Прошу объяснить с чем связано удаление.","<p>Добрый вечер, Дмитрий! Прогноз с аналогичным текстом был размещен еще на ряде сайтов. Вас предупреждали, что у нас такой номер не пройдет.</p>",Почему удалили мой прогноз?
300,Посоветуйте бк которые дают высокий кеф на ничью в лайфе (футбол),<p>Пройдитесь по линиям контор с оценками 5/4:https://bookmaker-ratings.ru/bookmakers-homepage/</p>,Ничья
301,"Здравствуйте, мой логин 1999131, я сделала запрос на вывод средств через Wooppay, прошло 3 дня деньги не вывели, сказали воспользоваться другим методом так как есть технические проблемы и посоветовали вывод на платежную карточку, я им воспользовалась, теперь служба поддержки говорит тоже самое что у них с этим методом технические проблемы, причём по телефону службы поддержки говорят что никаких проблем нет, чувствую что разговаривать дальше бесполезно, поэтому обращаюсь сюда чтобы Вы решили мою проблему и вывели деньги","<p>Татьяна, что такое wooppay и откуда вы выводите деньги? </p>",Вывод средств
302,ЗДРАСТВУЙТЕ ПОДСКАЖИТЕ ПОЖАЛУЙСТА Я ЗАРЕГИСТРИРОВАЛАСЬ В ЛЕОН БЕТ И ВЫЙГРАЛА 12.12.15 ТАМ 40.000 ТЫСЯЧ КОГДА Я ПЕРЕВОДИЛА ДЕНЬГИ МОЙ ИГРОВОЙ СЧЕТ ЗАБЛОКИРОВАЛИ ЧТО ДЕЛАТЬ Я ИМ ПИШУ НА ЭЛЕКТРОНКУ ОНИ УЖЕ 3-Й ДЕНЬ НЕ ОТВЕЧАЮТ,"<p>Заполните форму жалобы, пожалуйста:https://bookmaker-ratings.ru/bookmakers-homepage/forma-zhalob/</p>",блокировка счета
303,"Заблокировали аккаунт на Лиге ставок, документы отправил в тот же день. Прошло два дня ни ответа ни привета. Неприятно.......","<p>Проверяют в течении недели. Если затянется, пожалуйста заполните форму жалобы:https://bookmaker-ratings.ru/bookmakers-homepage/forma-zhalob/</p>",куда наипсать жалобу
304,Константин Генич продаёт отдельно прогнозы ?,"<p>Нет, не продает!</p>",Константин Генич делает платные прогнозы ?
305,"Здравствуйте. Хочу заняться ставками, до этого ставил не много в оффе на ЧМ по футболу в Лиге ставок. Ставить хочу просто на победу, одной или другой команды, так же ничья. Сразу ставить на несколько игр. Посоветуйте, какую БК выбрать для этого в онлайне чтоб с выводом проблем не было. Есть вариант опять же ставить в ЛС - она рядом с домом. Понятно большинство играет не для развлечения, как и я, надеюсь на какую то прибыль. Так вот если у меня будет стабильный плюс, возникнут ли проблемы с получением денег в ЛС в оффе? Заранее благодарю за совет.","<p>Если хотите ставить в ППС, то ЛС нормальная контора. А по интернету советую лучшую БК в рейтинге:https://bookmaker-ratings.ru/review/obzor-bukmekerskoy-kontory-william-hill/</p>",Помогите определиться с букмекерской конторой.
306,"Как я недавно узнал, прибыль подсчитывается у всех участников по очереди. Но вот до меня эта очередь все никак не дойдет. Можно ли попросить подсчитать прибыль, так сказать, ""по заявке""? Спасибо.","<p>Не волнуйтесь, очередь до вас дойдет. </p>",Можно ли попросить подсчитать прибыль?
307,"Здравствуйте. Вопрос по букмекерской конторе Scobet. Можно ли пополнять счет напрямую с карты мастеркард дебетовой в евро? Какая комиссия за это берётся? Можно ли вывести средства сюда же на эту карту? Какая комиссия опять же? Если нельзя, то как и куда можно вывести средства с минимальной комиссией?","В сбо могут быть заморочки с карточками, пользуйтесь Skrill это надежный, проверенный вариант для всех контор (для скрилла лучше завести Visa Classic)",Вывод ввод средств
308,"Здравствуйте, такой вопрос, а какой резон команде РБ помогать игрокам, которые сначала налудят в какой-либо конторе, а потом плачут , что деньги вывести не могут? Конечно это все хорошо, мне Вы много помогали, большое человеческое спасибо за это. Просто не верится что в этом мире кто-то может помочь просто так))","Когда помогаешь кому-то, есть вероятность что он расскажет об этом своим друзьям. Если помогать многим, популярность ресурса может существенно вырасти. А на популярном ресурсе можно продавать рекламу.",Вопрос К команде РБ
309,"Здравствуйте! У меня такая ситуация. Я зарегистрировался в бк Winline, пополнил счет с моей карты. Через некоторое время мой сын тоже захотел поиграть в этой конторе. И тоже зарегистрировался, денег у него не было и он взял карту у меня. Изначально контора ничего не предъявила. Потом сын пополнял уже средства со своей карты и даже вывел 1 т р. А сейчас оба наши аккаунта заблокировали. Можно ли теперь вернуть хотя бы вложенные деньги. Сумма хоть и не большая, но обидно отдавать!","Если сумма небольшая, то не тратьте время и на будущее, внимательно читайте правила контор, в данном случае правила не на вашей стороне, ну и конечно никогда так не делайте, платить одной картой или чужой картой нельзя, родственникам с одной регистрацией и/или с одним выходом в интернет играть только в разных конторах. Если сумма хоть сколько-нибудь значимая, то пробуйте им звонить по бесплатному номеру и объяснять ситуацию, может разрешат составить письменное обращение и по его рассмотрении может что-то и вернут, но шансы близки к 0%. Ну и на последок, без обид, если вы сделали это специально, то напрасно, подарили денежку бк.",Как вернуть деньги
310,"Ёлки-палки! Напугали своим снегом, я думал комп накрылся или вирус какой :-))) Всех с наступающим!","<p>С наступающим, Леонид! </p>",Почему идёт снег на сайте?
311,"Дмитрий Карабинович взял у меня 3 тысячи на раскрутку и сразу пропал, добавил в чёрный список! как быть? можно ли вернуть деньги?","Жалобу вашу приняли, ждите по ней ответа.",обман!
312,"Играл на Winline в течение 1 месяца, правил не нарушал. Из 10 тысяч стало примерно 80. Теперь максимальный лимит на любое событие-1000р, а обычно не более 200-300 руб. Понимаю, контора оставляет за собой право управлять лимитами без объяснений, но не слишком ли быстро? Играл всего месяц.",<p>К сожалению такие жалобы не обрабатываются. Советую сменить контору.</p>,Является ли случай резкого уменьшения лимитов по ставкам основанием для жалобы?
313,"Добрый день! Каким образом можно внести информацию о букмекерской компании, если ее нет в рейтинге?",<p>Какую информацию вы хотели бы внести?</p>,Размещение инф о букмекере
314,"Хочу поиграть в БК, но возник вопрос, там играет(зарегистрирован) мой брат, у нас прописка одна, но живем в разных местах, не сочтет нас БК, как будто мы в сговоре, в общем проблемы возникнут?","<p>Если обязательно хотите играть в одной конторе с братом, то советую об этом спросить у поддержки БК, во избежание дальнейших обвинений в мультиаккаунте.</p>",Регистрация в БК.
315,"Порезали на марафоне после регистрации до 1 евро, но не успел даже пополнить счет (не то чтобы ставку сделать). Поддержка отписала, что причины порезки не знает, но решение пересмотру не подлежит. Абсурд. Кто-нибудь сталкивался с таким?",<p>Вот статья на эту тему:https://bookmaker-ratings.ru/kak-bukmekerskie-kontoryi-vyichislyayut-vilochnikov/</p>,Порезка на марафоне еще до первой ставки
316,"По причине того что они неоднократно нарушают условия пари между БК и игроком. В моем случае, причина про один ip-адрес надуманная, так как я сидел со своего компьютера к которому доступ имею лишь я. И таким образом они могут блокировать каждого игрока который смог выиграть у них более-менее приличную сумму. На мой взгляд это очевидно мошенничество.","<p>В черный список попадают те конторы, которые вообще не выплачивают выигрыши. Оценка у 1XBET и так очень низкая. Спасибо за отзыв!</p>",Прошу внести 1xbet в черный список сайта.
317,Что с сайтами фавбет и фаворитспорт??,<p>Сайт подвергся хакерской атаке. Оценку мы понизили.</p><p>https://bookmaker-ratings.ru/otsenka-bk-favbet-ponizhena-s-4-do-3/</p>,Что с сайтами фавбет и фаворитспорт??
318,"Добрый день! Мой вопрос, будет отклоняться от обычных вопросов, задаваемых тут. Суть моего обращение заключается в том, что бы узнать можно ли работать вместе с вами над аналогом Draftkings. Я под большим впечатлением от истории созадтеля данного сайта Паруйра Шахбазяна, и считаю его профессионалом своего дела,и не побоюсь такого слова как своего гуру Я узнал эту информацию из статьи Forbes ( http://www.forbes.ru/finansy/309505-na-storone-igroka-kak-zarabotat-v-bukmekerskom-biznese) Прошу если есть хоть какая то информация по этому поводу, ответьте мне.","<p>Здравствуйте! По поводу сотрудничества, пожалуйста обратитесь к Паруйру Шахбазяну по этой почте - paruyr-shahbazyan@yandex.ru</p><p>Спасибо за добрые слова!</p>",Фэнтези
319,"Нет списка букмекеров, где есть тотолизаторы. Приходиться в каждый заходить. Или все же есть?","<p>Есть ассистент, с помощью которого можно выбрать подходящего вам букмекера.</p><p>https://bookmaker-ratings.ru/assistant/</p><p>Удачи!</p>",Тото
320,Что случилось с ФАВБЕТ ? Насколько это серьезно?Как вывести средства со счетов?,"Нужно подождать. Они пережили хакерскую атаку. Восстанавливаются. Обещают, что деньги будут в целости и сохранности. ",Не могу подключиться к FAVBET. Это проблемы конторы или у меня?
321,"Является ли бк мошенником, если заранее зная результат матча приняла лайв ставку и отказывается вернуть деньги? Источник: https://bookmaker-ratings.ru/form-add-question/",<p>Все кто принимают участие в организации договорных матчей являются мошенниками.</p>,"Является ли бк мошенником, если заранее зная результат матча приняла лайв ставку и отказывается вернуть деньги? Источник: https://bookmaker"
322,"Здравствуйте! Условно, у меня экспресс из 5 событий, с общим коэффециентом 10, одно событие из них на тб 1.25 (азиатский гандикап). В этом матче (тб 1.25) был забит один гол, значит с этого события возврат 50%. Вопрос: на сколько упадёт общий коэффициент экспресса? Заранее спасибо за ответ!","Здравствуйте!  Ваш вариант проиграет, значит, будет проигран весь экспресс. Можете ознакомиться на примере, предоставленном БК ""Марафон"":

Примеры расчёта азиатских фор и тоталов в составе экспрессов.

Если выбор с азиатской форой или тоталом входит в состав экспресса, то количество экспрессов увеличивается в 2 раза с каждым таким выбором.
100 € поставлено на «тройник», коэффициенты по входящим в «тройник» выборам: 1.25, 1.50 и 2.00 на больше 2.5,3.0 голов в матче. Cтавка разбивается на 2 экспресса:
50 € х 1.25 х 1.50 х 2.00 (больше 2.5)
50 € х 1.25 х 1.50 х 2.00 (больше 3.0)
Если выборы с коэффициентами 1.25 и 1.50 совпали с результатами и:
тотал матча – 4 и более голов, то выплата по этой ставке составит 375 €, а чистый выигрыш, за вычетом 100 € суммы ставки,будет равен 275 €. Ставка рассчитывается следующим образом:
50 € х 1.25 х 1.50 х 2.00 (больше 2.5) = 187.50 € 
50 € х 1.25 х 1.50 х 2.00 (больше 3.0) = 187.50 €
тотал матча – ровно 3 гола, то выплата по этой ставке составит 281.25 €, а чистый выигрыш, за вычетом 100 € суммы ставки, будет равен 181.25 €. Ставка рассчитывается следующим образом:
50 € х 1.25 х 1.50 х 2.00 (больше 2.5) = 187.50 €
50 € х 1.25 х 1.50 х 1.00 (больше 3.0) = 93.75 €
тотал матча меньше 3 голов (0, 1 или 2), то проигрывают обе ставки.","Как рассчитывается экспресс, в составе которого присутствует азиатский гандикап?"
323,Добрый день! С 30.12.15 невозможно зайти ни на один из сайтов бк 10bet. Везде доступ запрещен. Можно выяснить в чем проблема? В инете не нашел никакой информации…,"<p>Здравствуйте, смените IP-адрес.</p>",Не работают сайты бк 10bet
324,"Доброй ночи. Я занимаюсь прогнозированием. Подскажите, могу ли я попасть в тест рейтинга капперов, если у меня нет сайта, а есть группа в соцсетях и страница учета статистики на Бетоне с частично автоматическим вводом и расчетом прогнозов? http://www.betonsuccess.ru/sub/14289/KHL_NHL.IH.L/stats/all/ Моя почта для связи furunkul2004@yandex.ru","<p>Здравствуйте, пожалуйста пишите на эту почту: serezha_kirillov_83@mail.ru</p>",Как попасть на тестирование в рейтинг капперов
325,"Я являюсь представителем компании, оказывающей услуги по предоставлению прогнозов. Хотелось бы попасть в раздел ""Рейтинг капперов"" на сайте ""Рейтинг Букмекеров"", а точнее в список капперов, которым можно доверять. У нас есть сообщество вконтакте, сайт находится в разработке. Хотелось бы узнать что от нас требуется, чтобы попасть в заветный список капперов, которым можно доверять. Заранее спасибо.",<p>Пожалуйста пишите на эту почту: serezha_kirillov_83@mail.ru</p>,"Как попасть в список капперов, которым можно доверять?"
326,"У меня не которые прогнозы появляются после начала события, это задержка редакторов, или это какая то ошибка?",<p>Когда вы опубликовали эти прогнозы? И через сколько они появились на сайте? Речь идет о капперской трибуне?</p>,РБ раздел капперы
327,"Добрый день, я являюсь (как я понимаю) игроком низкого уровня, так как делаю ставки размером в 20-200 у.е в день, подскажите пожалуйста какую контору мне лучше подобрать (раньше использовал фаворит) учитывая такие критерии: а) быстрый депозит и вывод, б) валюта (желательно) в гривне, в) порядочное отношение к клиентам. г) какую посоветуете использовать платежную систему(раньше использовал платежи через visa)",<p>Играйте в конторах с оценками 5/4:https://bookmaker-ratings.ru/bookmakers-homepage/</p><p>Удачи!</p>,какую бк лучше использовать?
328,"Я имею ввиду выйграные деньги, с бездеп бонуса даже и спрашивать не буду.... А то моя сотка € повисла там уже дней на 20, если у кого есть инф-ция по этому поводу, чирканите пару строк, буду признателен, заранее душа!)))","<p>У этой конторы оценка ниже рекомендуемой - ""3"". Советуем играть в конторах с оценками 5 и 4.</p>","Здравствуйте, Кто-нибудь имел дело с конторой dobet.com? А точнее выводили с неё свои деньги? Я имею ввиду выйграные деньги?"
329,"доброго времени суток. Хочу испытать одну стратегию с догоном. пока что нашел только леонбет - 5р. Возможно, у кого-либо будет меньше?","<p>Слышал, что в Бетсити снижали максимумы до 1 рубля, значит...</p>",У какой БК самые низкие минимальные ставки?
330,"Здравствуйте, хочу заниматься профессионально ставками, имею стратегию ставок (в большей степени основана на экспрессах, и по принципу ""лестница""), ставлю в основном на форы, тоталы (ставки не простые - 1х2), ставил до этого в оффлайн БК, хочу перейти на online. Интересуюсь конторой, которая не будет урезать лимиты. Средняя ставка - от 10000$ до 20000$. Заранее Спасибо за ответ!","Попробуйте изучить линии контор для профи с высокими максимумами
https://bookmaker-ratings.ru/bookmakers-homepage/bukmekerskie-kontory-dlya-professionalov/",Какая БК имеет самые большие лимиты по ставкам?
331,"в БК 1 xBet есть такая фишка, как 1xZone, которая позволяет сделать ставку на событие, которое будет следующим по счету (аут, удар от ворот, гол, красная - желтая карточка, угловой и т.п.). Есть ли аналоги в других БК с более лучшим рейтингом?",<p>Можете изучить линию Бетсити:https://bookmaker-ratings.ru/review/obzor-bukmekerskoy-kontory-betcity/</p>,Вопрос по 1xZone (БК 1xet)
332,"Здравствуйте, скажите пожалуйста, кто пользовался услугами каппера - оldcapper? Оставьте пожалуйста отзыв... Заранее Спасибо1","<p>Здравствуйте, по вашей просьбе прошелся по сайту и паблику в ВК. Нашел там информацию о продаже инсайдов, что противоречит нашим требованиям. За это мы перемещаем капперов в ""Черный Список"".</p>",Каппер - oldcapper
333,"кто знает что происходит с фаворитспорт??? было на счету 35000 гривен, теперь 10300!!! показывает что деньги выведены на карту, но на самом деле я вывод не делал, и на карте их нет! служба поддержки не отвечает!""""","<p>Сайт подвергся хакерской атаке. Встречал аналогичные отзывы, но потом писали, что деньги вернулись на счет. Пишите, если проблема не будет решена.</p>",кто знает что происходит с фаворитспорт??? пропадают деньги со счета!!
334,"Хочу внести депозит в бк фонбет и 1хбет, так как очень удобный интерфейс но отзывы ужасные, если выводить от 60к в месяц то будут ли давай выводить? И еще вопрос в 1хбете делается карта могу ли я играть онлайн и выводить средства через ппс с картой с предостовлением паспорта?",<p>Рекомендую играть в конторах с оценками 5/4.</p>,С какими русскими бк не будет точно проблем с выводом?
335,"Здравствуйте! Вчера и сегодня безуспешно пытаюсь войти на сайты БК ""Марафон"" и БК ""Фонбет"". В чем причина? Опять блокировка? Анатолий","<p>Ищите в гугле, как обойти блокировку, способом очень много.</p>",Опять блокировка?
336,"Доброго времени суток! Такой вопрос: работающие в РФ букмекерские конторы являются налоговыми агентами, насколько мне известно.Если игрок выиграл в ППС такой конторы, то налоговый вычет осуществляет сама контора или игрок должен будет самостоятельно заполнять декларацию? И, если игроку самостоятельно нужно уплачивать налог, то каким образом происходит его декларация: через специальную службу в букмекерской конторе или напрямую через Налоговую службу? Объясните,пожалуйста.","<p>Игрокам не нужно платить, за них платят конторы.</p>","Кем и как осуществляется налоговый вычет: конторой, как налог. посредником или самим игроком?"
337,"Здравствуйте! Пожалуйста, объясните, почему на ТВ рекламируют букмекерские конторы, а в интернете блокируют их сайты? И как к этому относится законодательство? Спасибо!","В России онлайн-гэмблинг не легализован, по сути вне закона, поэтому игорные сайты в интернете блокируются. Онлайн-бк работают по лицензиям других государств, а наземные бк работают по лицензии РФ, название у бк одно, а фактически это разные юридические лица из разных юрисдикций. Рекламируют как бы наземные бк.",Блокировка сайтов букмекерских контор
338,здраствуйте например если я играю. 1.20 1.30 коээфициентами 10 usd несколько дней до 30 40 usd?я вилочник и могут меня убрать? спасибо за внимания,"<p>Здравствуйте, вилочник это игрок, который зарабатывает на ставках используя арбитражные ситуации. Подробнее об этом можете прочитать здесь:https://bookmaker-ratings.ru/category/help/uchebnik/</p>",кто такой вилочник?
339,"Здраствуйте, хотел спросить есть ли где то на сайте информация по ставкам прогнозистов за более длительный период (например за полгода на Генича)?","<p>Здравствуйте!</p><p>Нет, информация отображается за последний месяц.</p>","Здраствуйте, хотел спросить есть ли где то на сайте информация по ставкам прогнозистов за более длительный период"
340,"Доброго времени суток уважаемые эксперты, специалисты и пользователи сайта!!! Пожалуиста, поделитесь свои опытом и знаниями в системе ""Мартингейл"" (""Догон"")... Запрещена ли она? Если запрещена, то в каких букмекерских конторах? Если же разрешено играть по этой системе, то какую букмекерскую контору Вы посоветуете? Заранее благодарю за ответы... п/с Алматы, Казахстан","<p>Добрый день! За игру догоном конторы не применяют санкции. Эта стратегия не является беспроигрышной. Подробнее о ней можно прочитать в нашей <a href=""https://bookmaker-ratings.ru/wiki/dogon/"">базе знаний</a>. Также посмотрите видео. </p>","Система ""Мартингейл"" (""Догон"")"
341,"Никто не в курсе почему Skrill недоступен 14 января 2016 ,я имею ввиду вообще не возможно попасть в свой акк на скрилле?","Да у них похоже какие-то проблемы, у меня получилось зайти из под VPN, но несколько раз выскакивало сообщение, что типа сайт перегружен запросами и они эту проблему решают. Будем надеяться скоро наладят работу. Почистите кэш браузера и попробуйте зайти через VPN, если очень надо.",скрилл
342,"Форумчане! Особенно из Украины! Подскажите плиз, как наиболее быстрее и проще переводить средства из WebMoney(WMZ) в Skrill (USD)? Карта долларовая VISA Приватбанк кдв, не именная.Ранее я этого не делал. Много инфы и ссылок в инете на эту тему,но без 100 грамм не разобраться)). 1.Как я понял можно старым проверенным методом: вывожу через представителей WM в своём городе (например OKWM), теряю около 3%, затем в любом отделении или терминале ПриватБанка просто пополняю свою карту баксами, теряя ещё 0,5%, ну и затем уже на Skrill. 2.Можно через сайт WM, через рекомендованных ими обменников, но там я так понял нужно привязывать карту к своему WM-кошельку, отсылать сканы паспорта, карты и прочее и ждать несколько дней.Как-то геморрно и совсем неясно какая в итоге выйдет комиссия и сколько на это уйдёт банковских дней. 3.Гугл выдаёт ещё с пол-сотни обменников как это провернуть, но это видимо на свой страх и риск.Мне этот вариант не особо нравится. Вобщем я понял, чтобы это провернуть не отходя от компа вариантов много есть. Поделитесь опытом, какой способ наиболее безболезненный и кто как это делает? Буду признателен всем.","Привяжите свою карту к кошельку Вебмани, выводите деньги на карту, потом с карты пополняйте ваш Скрилл.

Я вас правильно понял?",Вывод WMZ на карту для перевода в Skrill в Украине
