texts	answers	labels
В первый раз мой прогноз был удалён, задал сюда вопрос - ответа не получил. Добавил прогноз во второй раз, его не проверяют уже с 16:00 по мск. В чём проблема?	Если Вы добавили прогноз, то он в любом случае будет проверен. В связи с рестартом конкурса прогнозов объем прогнозов очень большой, поэтому обработка идет с задержкой. Извините за неудобства. 	119
"Что значит "" прогноз не прошёл модерацию, и не будет рассчитан?"""	"Для того, чтобы Ваш прогноз претендовал на попадание на главную страницу """"""""""""""""Трибуны"""""""""""""""", он должен быть размещен не позднее, чем за 2 часа до события."	111
А можно как то новость создать?Сегодня зашел ординаром кф 101)))хотел дать прогноз но что в трибуне на это событие но что то рука не дошла)))	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Опубликовал около 2 часа ранее прогноз на матч МЛС, но его не опубликовали, проста хочу узнать причину?	"Для того, чтобы Ваш прогноз претендовал на попадание на главную страницу """"""""""""""""Трибуны"""""""""""""""", он должен быть размещен не позднее, чем за 2 часа до события."	111
Почему я не могу добавить прогноз? Почему не меняется с любителя на игрок? я уже сделал 2 отзыва	"По всей видимости, Ваш прогноз не соответствует правилам, установленным для прогноза. Что бы в дальнейшем проблем с попаданием на трибуну не возникало, ознакомьтесь с разделом """"""""Знания/Полезные статьи"""""""".Удачи!"	202
Сделал прогноз примерно в 4 утра, первый матч по прогнозу в 9 утра,в чем проблема?	Прогнозы обрабатываются в порядке очереди. И все зависит от загруженности сотрудника, который занимается проверкой прогнозов. Необходимо ожидать.	233
Не показывает причину не прохода модерация, хотя сам прогноз сделал от часа - 30 минут до матча. и опубликовал	"Для того, чтобы Ваш прогноз претендовал на попадание на главную страницу """"""""Трибуны"""""""", он должен быть размещен не позднее, чем за 2 часа до события."	112
Я вожу числа с карточки , деньги снимаются на пару минут , и потом снова перекидываются на аккаунт Помогите пожалуйста	Обратитесь в поддержку букмекера.	185
"Мен просят: ""укажите причину множественной регистрации"". Подскажите, что это значит? не дают вывести деньги, все документы проверили, а вот это видимо итог. Как отвечать и в чем по сути проблема?"	Если вы выходите с одного компа с двух разных акков ,то естественно вас заподозрят в мультиакках и закроют счета.	125
Обязательно ли отправлять им сканер паспорта чтобы вывести деньги? Или достаточно ввести номер и серию в аккаунте.	Конкретизируйте вопрос. Не совсем понятно, о чем идёт речь. 	156
Я регистрация через телефон Номер а теперь не могу снять деньги а там написано паспорт даней надо было я много раз попробую все равно не получится если я поеду мостбет офисе можно там регистрировать	Конкретизируйте вопрос. Не совсем понятно, о чем идёт речь. 	156
дело в том,что не могу вывести деньги с бет365,на все мои банки деньги кидать отказываются,точнее говорят что кидают,но банк отказывается их принимать и присылает обратно(хотя уточняя у банка поступали ли вообще средства которых я не видел,сказали нет)	Skrill и Neteller - лучшие платежные системы, придуманные человечеством. Банковские переводы неудобны, из-за сроков и комиссий. 	43
Добрый день. Закидывал день с помощью MasterCard, списали со счета почти 3 бакса за верификацию. Их вообще вернут обратно? Конечно я лопух, ведь вывести деньги можно только на Visa и банковский счет.	Эти деньги попали на ваш счет в Skrill. Вы с ними можете делать что захотите.  	283
не могу вывести деньги не приходит смс код	Конкретизируйте вопрос. Не совсем понятно, о чем идёт речь. 	156
Добрый день! Букмекерская контора 1xbet заблокировала мой счёт и дала только вывести деньги, которые заводила, а тот плюс, который был, просто забрали! Сказали, что не прошла видеоконференцию! Есть все скриншоты для подтверждения и все переписки! Куда мне обращаться?	В данной ситуации могу только порекомендовать Вам обратиться к юристу.  	57
при регистрации своего аккаунта, я вводил данные из головы, то есть таких данных не существует, (фамилия имя-правильны, год, рождения - правильны) в случае запроса на вертификацию, могу ли я вывести свои деньги в ППС, при предъявлении паспорта?	Открывайте счета на свое имя. 	196
Не получается вывести деньги, что делать?	Воспользуйтесь дополнительным способом пополнения депозита, чтобы иметь в дальнейшем дополнительный способ вывода выигрышей. 	81
Смогу ли я вывести свои деньги если при выводе денег не смог предоставить бк некоторые документы(кроме паспорта)??????	Для верификации нужно предоставить все документы, которые запрашивает контора. 	109
Вчера 25.08 перевёл деньги на киви и не получил в чем дело	Здравствуйте!Обратитесь в поддержку букмекера.	143
Как перевести деньги если на выводе средств в 1xbet нет такого пункта как Сбербанк онлайн	Обратитесь в поддержку букмекера.	185
Кинул деньги на сайт через киви кошелёк они не пришли. Много раз так делал все было хорошо а сейчас деньги не пришли остался чек. Как быть.	Обратитесь в поддержку букмекера.	185
Не могу вывести деньги. Пробовала и через систему, с помощью которой пополняла. Что делать?	Возможно, Вам нужно пройти процедуру идентификации. Обратитесь в поддержку букмекера.	79
не принимает деньги по картам, по киви прошла оплата. в чем дело?	Обратитесь в поддержку букмекера.	185
Сделал запрос на вывод выигрыша с бк вильям хилл деньги со счета ушли но на карта и не поступили что мне делать	Вывод на карту занимает от 3 до 5 дней.	96
прошла ставка!выиграл деньги. после чего решил вывести их. захожу, на счет -он заблокирован! мне пришло от вас письмо с паролем! что с ним делать? как вывести деньги? с кем связаться? вот такое письмо мне пришло.	Обратитесь в поддержку букмекера.	185
Запрос на вывод был одобрен, но деньги все никак не проходят. В окошке обозначено, что перевод в процессе и ожидает подтверждения у оператора. Но что-то долго он не подтверждает. Сколько времени придется ждать?	Обратитесь в поддержку букмекера.	185
Сделал запрос на вывод средств, одобрили но деньги не приходят они в процессе уже 3 день, но попробовал вывести 100 рублей сразу перевели	Обратитесь в поддержку букмекера.	185
Как снять со счёта winline деньги ?	Заполните форму жалобы, пожалуйста.	139
Что делать если взломали и забрали деньги ?	Обратитесь в поддержку пожалуйста. Если ответ вас не устроит, пожалуйста заполните  форму жалобы . 	186
Бет365 продолжительно не хочет выплачивать деньги,опираясь на проблемы банков!что делать?	Предложить им вывести средства на другой удобный вам способ. 	219
"В техподдержке уже неделю пишут что проблемы со шлюзом и деньги нельзя вывести. Выводы висят в обработке день, затем возвращаются с пометкой ""Перезакажите выплату"""	Обратитесь в поддержку букмекера.	185
депозит делал через skrill смогу ли вывести через neteller в бет 365, пинакл , сбобет , мачбук , бетфаир.	 Вывести можно на ту систему через которую пополняли. Нужно вывести средства на Skrill, потом пополнить через Neteller и дальше можno вывести на Neteller. 	8
Можно ли вывести депозит с 1xbet если запросили документы на верификацию, а пройти ее нет возможности (нет документов)? Просто хочу вернуть деньги, акк для меня ценности не представляет, можно его заблокировать.	К сожалению, вывести денежные средства без подтверждения личности не получится, особенно если сама контора требует документы.	152
Что случилось с ФАВБЕТ ? Насколько это серьезно?Как вывести средства со счетов?	Нужно подождать. Они пережили хакерскую атаку. Восстанавливаются. Обещают, что деньги будут в целости и сохранности. 	183
Только зарегистрировалась и положила деньги на счет а номер счета не по смотрела приложение вылетело тут же захожу нет профиля как узнать номер счета?	Обратитесь в поддержку букмекера.	185
Мне произвели разблокировку счета, а баланс со счета списали, что делать и возможно ли вернуть деньги? Если выяснили что я не мошенник и никаких противоправных действий не совершал почему забрали мои деньги?	Заполните форму жалобы, пожалуйста. 	140
Здравствуйте,я вчера пополнил счёт 2 раза деньги не пришли.В чем дело?3026293	Обратитесь в поддержку букмекера.	185
Забыл номер счета,он мне пришел на телефон а это сообщение удалил,что мне делать	Обратитесь в поддержку букмекера.	185
Возможно ли вернуть деньги так как сумма на счете не большая а точнее 6700, аккаунт регистрировал на себя а про конфискацию баланса ни где не написали...	В данной ситуации могу только порекомендовать Вам обратиться к юристу.  	57
Я заказал на вывод средств через киви кошелёк мне пришёл отказ хотя у меня счёт верифецирован и я не однократно снимал деньги. В службе поддержке мне ничего не отвечают.	Заполните форму жалобы, пожалуйста. 	140
я создал через мобильное прил номер счета потом мне придложили скачать другую версию!!!!! когда я хотел снять со счета деньги он попросил авторизоватся я зарегистрировался заново и не могу вывести деньги со старого что делать?	Обратитесь в поддержку букмекера.	185
не могу вывести денежные средства со счета, не приходит индефикация? Как мне быть?	Обратитесь в поддержку букмекера.	185
Как получить бесплатный бонус, после пополнения счёта и после скольких игр, его можно вывести ?	Обратитесь в поддержку букмекера.	185
Я хочу изменить свой электронный кошелек, чтобы сделать вывод деньги. Номер моего игрового счета 2732557 , мой электронный кошелек(qiwi) +77087489341 , хочу изменить на +77072611996 . Заранее спасибо, нового электронного кошелька я сделал депозит.	Только если у вас есть все документы на эти номера, и вы можете подтвердить что вы являетесь их владельцем. Обратитесь в поддержку букмекера.	266
Направил документы в зенитбет для верификации счета еще 18 июня,Сегодня уже 29 июня но так и не могу вывести денежные средства.Сколько еще ждать?	Обычно документы проверяют в течение двух недель.	188
В моем городе Луганске, в 1 момент закрылись все ваши конторы(одновременно и спонтанно) а деньги выигранные остались у Вас, как мне их вернуть?	Обратитесь в поддержку пожалуйста. Если ответ вас не устроит, пожалуйста заполните  форму жалобы . 	186
Утеряна симка, но доступ к киви-кошельку остался. При переводе денежных средств приложение постоянно запрашивает подтверждение по смс-номеру кошелька. Как быть? Восстановлению сим-карта не подлежит, и терять деньги не хотелось бы... Посоветуйте пожалуйста что можно предпртнять в таком случае?	"Попробуйте обратиться в службу поддержки """"Киви"""". "	214
Сделал запрос на вывод средств, пришла смс от банка что деньги притшли в размере указанной суммы, но баланс карты не был увеличен. Такое возможно?	Этот вопрос лучше задать представителям банка.	290
забыл в бк зенит имя лучшего друга и мой люимый клуб без этих ключевых записей не могу вывести деньги как их восстановить?в техподдержку обрашался писал на маил но тишишна	Заполните форму жалобы, пожалуйста.	139
Может ли контора анулировать и не вернуть выгрыши и депозиты. Сорвал не маленький куш. Сразу прислали на почту письмо чтоб я отправил документы. Просто читаю в отзывах что можно забыть про деньги. Хотя конторой вообщем доволен. Что мне делать	Если при регистрации указали достоверные данные о себе, то с помощью документов вы легко подтвердите свою личность. Обычная предосторожность букмекерских контор. В некоторых случаях контора может даже запросить видеоконферецию с вами. Но это только если у вас действительно крупный выигрыш. В любом случае, если вы совершеннолетний игрок, и не нарушали никаких правил букмекера, то боятся нечего. 	128
что делать если забыли секретные вопросы?	Обратитесь в поддержку букмекера.	185
Квитанция:2453 Терминал:10261474 Дата:02.05.2017 15:33:36 Поставщик: Киви банк Зачислено:100 руб. Номер телефона/счета: 79670847870 Код операции:3891908147 Почему деньги не пришел на моего личного кабинета ???	Обратитесь в поддержку букмекера.	185
расширения давно перестали помогать, даже кровные хз как вывести, подскажите дельным советом пожалуйста.	Ищите способы обхода блокировок в поисковике.	149
Подскажите как я могу снять деньги	Обратитесь в поддержку букмекера.	185
уважаемый админ! Ответьте, пожалуйста на вопрос. Как мне вывести деньги со счета БК Марафон, если я не помню ответа на секретный вопрос? Ответ по глупости оказался не записан и со временем забыт. Возможно ли получить новый секретный вопрос?	Обратитесь в поддержку букмекера.	185
Нет возможности делать запросы в личном кабинете через пк.	Обратитесь в поддержку букмекера.	185
Добрый день, не выводят на киви уже в течении трёх дней, проблема как будто не решается, возможно ли вывести другим способом деньги? 	Обратитесь в поддержку букмекера.	185
Добрый день! Объясните пожалуйста по подробнее о бонусе в размере 10000 в бк Лига ставок. А то, если честно, не очень понятно описаны правила у вас на сайте. Заранее спасибо!	Конкретизируйте вопрос. Не совсем понятно, о чем идёт речь. 	156
БетСити равна 1 500 белорусских рублей, минимальная live-ставка – 1 500 белорусских рублей указанное в Линии, при приеме ставок посредством глобальной компьютерной сети Интернет?	Конкретизируйте вопрос. Не совсем понятно, о чем идёт речь. 	156
Для лайв-ставок. Пусть и без рейтинга, но, как по мне, для тех кто понимает - это гораздо более прибыльная стратегия.	На данный момент наш технический отдел работает в данном направлении. У нас есть определенные планы по запуску чата, в котором пользователи смогут общаться в более живом формате, в том числе и на тему лайв-ставок. 	169
налог на выигрыш 13% в лиге ставок , куда он идет !?	В соответствии с действующим законодательством РФ, доходы физических лиц облагаются налогом в размере 13% от полученного дохода (налоговой базы). То же самое касается и выигрышей в букмекерских конторах. Рассчитывать, удерживать и перечислять в бюджет суммы налога на выигрыш обязана букмекерская компания (налоговый агент).Налоги идут государству.	69
Почему роскомнадзор блокирует сайты всех ведущих букмекерских контор, а именно: лига ставок, винлайн, марафон.	Потому что в России онлайн-гэмблинг нелегален, по сути запрещен, сайты бк работают под юрисдикцией других стран, работающего законодательства регулирующего игорную деятельность в интернете нет, но вот уже несколько лет идёт процесс по разработке этого законодательства и легализации этого бизнеса, но что-то всё через пень колоду.	218
Вопрос такой: А если в настройках профиля сменить имя и фамилию, то возможно ли сменить имя и фамилию в заголовках моих завершенных ранее ставок?	 Заголовки прописываются вручную в момент оформления прогноза, соответственно, изменить их уже нельзя, поскольку технически пользователи не могут вносить корректировки в ранее размещенные материалы. Однако все прогнозы останутся в Вашей учетной записи и будут доступны для ознакомления.  	12
"При регистрации в ""Лиге ставок"", прошел регистрацию на 1cupis. ru. При вводе ""цупис"" в присковой системе помимо 1cupis, одним из первых идет tsupis.ru."	"Сервис 1cupis работает с  российскими БК, которые на данный момент имеют статус легальных. Что касается других """"ЦУПИСов"""", полноценно работать они начнут позднее."	253
Ограничения по количеству ставок в экспрессе отсутствует?	Обратитесь в поддержку букмекера.	185
Сайты все перевели на один 1х ставка, но для ставок в 1хставке требуется сходить в контору, может кто знает другое приложение подобное леону или где-нибудь с файлообменника ссылку кинет	Ищите способы обхода блокировок в поисковике.	149
Не могу попасть на сайт лиги ставок	Ищите способы обхода блокировок в поисковике.	149
я не пойму почему пару моих ставок застыли и ничего не происходит с ними,написано не рассчитано и всё!!!как это понимать?	Обратитесь в поддержку пожалуйста. Если ответ вас не устроит, пожалуйста заполните  форму жалобы . 	186
Я хочу узнать,высчитав маржу,я просто буду знать больше она или меньше на той или иной БК,или эту информацию можно использовать для улучшения качества ставок?	" Чтобы было проще понять суть, маржа у букмекера, это как процент за """"""""успешную"""""""" операцию в банке.  Выигрывать или проигрывать чаще от этого Вы не станете, но  на дистанции  Ваши финансовые показатели при прочих равных будут выше в той БК, у которой маржа меньше. "	36
Я играю в конторе 888.ru. Почему её нет в списках, когда я делаю свой прогноз на Трибуне? Она легальна в России как и БК Лига ставок	Ваша просьба передана программистам. 	73
Подскажите пожалуйста,какие по вашему мнению имеются хорошие букмекерские конторы для ставок в лайве на баскетбол?	Пройдитесь по линии William Hill.    	235
Здрасте. Когда Марафон станет белым, пушистым и будет работать через ЦУПИС? Чехарда с перебоями в работе из-за блокировок уже утомила. Раз ваши программисты не могут наладить бесперебойную работу, как винлайн, леон или лига ставок, то сделайте официальный сайт...	Обратитесь в поддержку букмекера.	185
Я написал сайт лига ставок  , и говорить что таково сайта нету , помогите зайти в сайт лига ставок.	Гуглите способы обхода блокировки или напишите в поддержку букмекера с просьбой предоставить вам альтернативные адреса.	98
Как осуществляется (или осуществляется ли) удержание налога с выигрышных ставок?	Обратитесь в поддержку букмекера.	185
Заблокировали аккаунт на Лиге ставок, документы отправил в тот же день. Прошло два дня ни ответа ни привета. Неприятно.......	Обычно документы проверяют в течение двух недель.	188
Доброго времени суток. Год назад были порезаны максимумы по счёту 93768GU из-за нескольких ставок по вилкам, это стратегий давно не пользуюсь. Есть ли возможность восстановить максимумы для комфортной игры?	Обратитесь в поддержку букмекера.	185
Зарегистрировался на Лига ставок по вашей партнёрке, бонус не начислен, Телепняк Максим Анатольевич, номер счёта 997468834	Обратитесь в поддержку букмекера.	185
Хотел бы узнать причину не допуска прогноза на Трибуну.	"Для того, чтобы Ваш прогноз претендовал на попадание на главную страницу """"""""Трибуны"""""""", он должен быть размещен не позднее, чем за 2 часа до события."	112
Я не понимаю причины запрета мое прогноза. (Прогноз от Zlatan. «Торино» — «Милан» и очередная домашняя победа Браги.)	"Для того, чтобы Ваш прогноз претендовал на попадание на главную страницу """"""""Трибуны"""""""", он должен быть размещен не позднее, чем за 2 часа до события."	112
ДАЛ 2 ПРОГНОЗА-НИ ОДИН НЕ ПРОШЕЛ МОДЕРАЦИЮ-ЧТО ТАКОЕ?	"По всей видимости, Ваш прогноз не соответствует правилам, установленным для прогноза. Что бы в дальнейшем проблем с попаданием на трибуну не возникало, ознакомьтесь с разделом """"""""Знания/Полезные статьи"""""""".Удачи!"	202
А почему так долго мои два добавленных прогноза находятся на рассмотрении? Что там такого рассматривать нужно? Оба прогноза по тексту - уникальны. Один из прогнозов уже начался, причём как час назад.	"Возможно, прогнозы были даны в промежуток времени, когда модераторы не рассматривают их. Когда даёте прогноз, внизу написано: """"Обращаем ваше внимание на то, что модераторы добавляют опубликованные прогнозы в «Капперскую трибуну» ежедневно с 9:00 до 10:00, с 14:00 до 15:00, с 19:00 до 00:00 (МСК). Благодарим вас за прогноз!""""."	80
Не рассчитали два прогноза, которые не были добавлены на главную трибуны, матч Йокерит-Барыс и Быстрица-Нитра	 Мы рассчитываем только прогнозы, попавшие на главную «Трибуны». Эти прогнозы учитываются в статистике у прогнозистов.После внедрения автоматизированного расчета будем рассчитывать и учитывать все прогнозы.   	20
можно узнать причину не попадания моего прогноза на МЮ-Сток , чтобы исправить мои ошибкы.?	"По всей видимости, Ваш прогноз не соответствует правилам, установленным для прогноза. Что бы в дальнейшем проблем с попаданием на трибуну не возникало, ознакомьтесь с разделом """"""""Знания/Полезные статьи"""""""".Удачи!"	202
"Видел где то на сайте, что за размещение прогноза, дадут статус ""гуру"") Прогноз разместил, мой экспресс выиграл) статуса не получил. Может мне приснилось, т.к. объявления я этого больше не вижу."	Гуру. Этот статус говорит сам за себя. Гуру становится пользователь, который:написал 3 или более отзывов к разным букмекерским конторам;оставил не менее 10 комментариев к материалам сайта в течение месяца за последних 3 календарных месяца;ежемесячно публикует выигрышные прогнозы в Каперской трибуне;ответил не менее трех раз рубрике «Вопрос-ответ».	99
Добрый Разместил 2 прогноза в Конкурсе слава и деньги. Но через 5 минут после размещения они исчезли из моего профиля. В чем проблема?	"Причина удаления прогноза -  копирование прогноза с других ресурсов. Это запрещено правилами оформления прогнозов на """"Рейтинге Букмекеров"""". "	227
Почему мне поменяли фото прогноза, и он не будет рассчитан?	Конкретизируйте вопрос. Не совсем понятно, о чем идёт речь. 	156
Сегодня днем разместил свой прогноз на матч КХЛ. Динамо (Минск) - Амур. Сейчас прогноза нет, хотя, по моему мнению, он соответствовал требованиям по содержанию. В чем дело?	"Причина удаления прогноза -  копирование прогноза с других ресурсов. Это запрещено правилами оформления прогнозов на """"Рейтинге Букмекеров"""". "	227
"Какой крайний срок подачи прогноза для конкурса ""Деньги Слава"" ? По времени"	"Для того, чтобы Ваш прогноз претендовал на попадание на главную страницу """"""""Трибуны"""""""", он должен быть размещен не позднее, чем за 2 часа до события."	112
Пропали 2 моих последних прогноза.	"По всей видимости, Ваш прогноз не соответствует правилам, установленным для прогноза. Что бы в дальнейшем проблем с попаданием на трибуну не возникало, ознакомьтесь с разделом """"""""Знания/Полезные статьи"""""""".Удачи!"	202
Доброго времени суток! Мои два прогноза не попали на трибуну (один на нба, второй на КХЛ). Коэффициента брал с Вильям Хилла, картинка соответствующего размера.	"По всей видимости, Ваш прогноз не соответствует правилам, установленным для прогноза. Что бы в дальнейшем проблем с попаданием на трибуну не возникало, ознакомьтесь с разделом """"""""Знания/Полезные статьи"""""""".Удачи!"	202
"Хотел поставить экспресс, но не нашёл так сказать ""инструкцию"". Основной момент, правильность оформления ""название прогноза"" Заранее спасибо!"	"Для этого при публикации прогноза необходимо выбрать тип ставки ""экспресс"", а не ""ординар"". Дать прогноз на ""матч 1"", после чего нажать ""добавить матч"" и дать ставку для второго матча. Если их больше, чем два, то ""добавить матч"" необходимо использовать нужное количество раз."	113
"Возможности выбора этой конторы в разделе ""Букмекер"" на странице для написания прогноза нет."	"В выпадающем меню поля «Букмекер» Вы можете найти только конторы, которые имеют положительную оценку. Именно поэтому БК «Бетсити» Вам недоступна.  Вы можете найти альтернативную контору и использовать ее линию при оформлении прогнозов у нас на сайте, либо дождаться повышения оценки """"Бетсити"""". "	56
При вводе прогноза не могу выбрать букмекера,в поиске ничего нельзя найти. Как можно исправить эту проблему?	Публикуйте пока прогнозы без выбора букмекера, оставляйте поле «букмекер» пустым.    	239
Сколько времени идет проверка прогноза?Успеет ли мой прогноз попасть на трибуну до начала матча?	"Для того, чтобы Ваш прогноз претендовал на попадание на главную страницу """"""""Трибуны"""""""", он должен быть размещен не позднее, чем за 2 часа до события."	112
участвую в конкурсе ставок, 3 прогноза сделал а они кудато исчезают подскажите что за х..нь?	Конкретизируйте вопрос. Не совсем понятно, о чем идёт речь. 	156
Дал прогноз на матч Санкт-Паули - Карлсруэ за 1 час 50 минут до матча. До сих пор находиться на рассмотрении. Хотел уточнить, примет ли он участие в конкурсе?	"Для того, чтобы Ваш прогноз претендовал на попадание на главную страницу """"""""Трибуны"""""""", он должен быть размещен не позднее, чем за 2 часа до события."	112
Участвую в конкурсе капперов и не могу продолжить, потому что много не рассчитанных ставок.	Ставки рассчитываются вручную в порядке очереди. Иногда возможны задержки, однако зачастую прогноз приводят в порядок в течении суток после окончания матча.	261
Здравствуйте уважаемые модераторы! Вот назрел вопрос. Участвую в конкурсе только набираю ход.Могу ли я дать ссылку на группу где я являюсь админом, и от куда мои же подписчики приходят к Вам.Да это как реклама, но прошу заметить она взаимная	Если Вы хотите попасть в рейтинг капперов (услуги за деньги), напишите нам на почту support@bookmakersrating.ru 	122
я участвую в конкурсе. мой прогноз прошел, когда засчитают выигрыш? Заранее спасибо за ответ)))	Прогнозы обрабатываются в порядке очереди. И все зависит от загруженности сотрудника, который занимается проверкой прогнозов. Необходимо ожидать.	233
Я из Эстонии, и моя страна находится в списке запрещённых. Есть ли какие-то способы решить эту проблему, чтобы была возможность участвовать в конкурсе? Если нет, то возможно ли какая-то альтернатива? Чтоб некоторые вообще без конкурса не остались.	Если страна находится в списке запрещенных, то участие в конкурсе исключено согласно правилам.	130
участвую в конкурсе капперов, но при написании прогноза в окне непосредственно ставки не могу выбрать букмекера, выпадает пустой список и при написании ничего не находит. Хэлп	Публикуйте пока прогнозы без выбора букмекера, оставляйте поле «букмекер» пустым.    	239
Доброго времени суток. Я точно не помню был ли ранее зарегистрирован на Вашем ресурсе. Сегодня прошел регистрацию, но так как планирую принять участие в конкурсе, то возникает вопрос - не получу я в случаи повторной регистрации БАН.	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
